review,rating
Absolute Masterpiece i hate the people who gave this beautiful game 1 star just because you don't have the storage to play it that doesn't mean that is there problem.,5
amazing but the fandom isn't amazing,5
Very nice,5
Give me gambling money (primo gems),4
"This is one my first Open World RPG games, and I think I never have loved a game as much as this... The graphics, character designs, the waifus are all amazing, even the story is kinda good... But the updates are dry and the content is not enough when one is at endgame, so hv recently been burnt out. I would love it if they devs can think of a way to entice old players to stay. Also give better rewards man.",4
It's awesome the best game available in Play Store for sure,5
I keep trying to play but it keeps on saying there is some type of error on it it wasn't worth it!,1
"Love the exploration (Except the whole of sumeru), the lore is good, the character designs are just getting better & better! But, u need to give out better rewards, the primogems are not enough! Plus the grind is always repetitive, artifact system sucks, abyss rewards needs to be raised, lack of end game content, and the quests are BORING! The quests are too lengthy and most of the time, uninteresting. Please add dialogue and/or a skip button!",1
"Keep you greedy, even the returnee event you take back XD, but thanks, because your greedy i can totally stop playing genshin and other mihoyo games, thanks to snow break become alternative and other open world game",1
Gud,5
I signed in super excited just to keep getting something popping up saying hint but it makes no sense and it won't let me in the game...,1
Miserly game,1
It is very good game,5
"I love it sm. The story is literally awesome!!! I also love the fact about all the theories you can make. I also love and respect how they have made so the gods (the archons) have devil names from the ars goetia. That's just a cool detail i noticed not a while ago. I'm very excited to visit all the nations in Teyvat. Great game, and i look forward to the future of the game. 👍",5
"it keeps telling me I need to make more space on my phone even though, only 53 percent of my storage is taken up",1
I love it,5
The game does not let me play,1
Genshin could never,1
A sigma skibidi pomni digital Fortnite chamba rizz flow xxxtentacion,1
"Been playing for almost 3 years now and the gaming experience is still awesome. Story line is also good. Just a small request to the devs 😊, hope you guys can add different zoom angles, especially wide angles on all gaming platforms. This would definitely help a lot and also to enjoy the scenery more if roaming the region on a wide screen perspective. Thank you.",5
please genshin give me knave,5
"im chinese, so ye",5
Good,5
The best RPG game I've played in these years of searching,4
Yaaaassssss,5
"While Genshin is amazing, there is absolutely no reason it should be this large of a game. Why does it need 36GB to be able to run? Please do some compression on the app size.",2
Badd,1
Best game!!!,5
Just perfect,5
Rewards could be better,4
Working play with genshin impact. Hindi nakakasawa laroin. Almost 1 year na ako nag lalaro go more power more updates new character more 5star goooo genshin,5
Very nice and adventurous game,5
This game is lovely 😭😭😭,5
"If buying isn't owning, then pirating isn't stealing. 😎",1
"I love this game great story, great character, best interactive voice line, stunning game design & map , good boss fight and best for best character guide where beginners build their character This game is also good for p2w and f2p For spiral abyss you don't need c6 character or weapon to complete All you need is the saving primo waiting until you got your character (16k) primo min just for safety purpose Bad side is the game 50-50 pity system after you got guarantee character",5
Worst game in my life yes it's number 1 game but most worst number 1 game don't download it it's so lag,1
Fun,5
I like genshin because of the lore usually games like that are more focused on like main history events like french revolution and put it in they're way into the game but with genshin the difference it's that they put stuff like Peniheri into it what's based on a real life book from the 1500s I like that underrated stuff of history and I like that hoyoverse puts it into the game I do like the game design too,5
Cool but I wish the game whould a lot smaller the game seems like a trial for 9 days couse of the updates,4
Majaa game ehh 💥,4
Full with adventure I like this game,5
A nice game but some of the prologue are kinda boring,4
Good,4
br ma ma pyaw talk bu သူငယ်ချင်းနဲ့ချိတ်ဆော့,5
Getting worst the more you update I can't even play game now on PC terrible,1
My review did not get accommodated and it didn't get responded to. The issues are still here after all the customer service told me to do I think it's the games problem not my phone or internet. I hope your employees can at least respend to people's reviews and fix the games issues. I hope my review can help the game and potentially other people. Thanks!,1
It's good but it consumes so much data to load. But the graphics is so good,4
Best game,5
They keep removing my review.,1
Best gams everrrrr,5
Ok,5
game becomes too casual. and the playerbase become WK just to discredit all criticism.,1
love it no other words but good,5
"Not able to sign in , i uninstalled every extra apps but still an error was coming nerver downloading ever again",1
"There is a reason this game has fallen to 3 STARS and it's going even lower every time I see it. YOU keep deleting special content and time gate content. New players have no clue. Also, there is no Android phone optimization even tho the s24 is dedicated to handle this game. ""New"" boring and bloated content and dialog is the same. Why keep the annoying sidekick...? Weathering Waves story and characters seem more promising and that game isn't even out yet. Create different race characters!!!",1
Became my most fav game yesss,5
Used to be fun but there's not really a lot of things to do anymore. I was able to reach AR 60 after playing for 2 years and a half once I've reached AR 55 the motivation/ fun if playing the game has already faded now I'm only playing because I've spent too much money and time playing this game.,3
The game is great and so is the story line but I really wanna see more of the anime still art.And i feel like the travel speak instead of piamon since I feel like it would give a bit more depth in the game other than that the games amazing and I recommend playing,4
I love this game! Buti have only one issue make this game more optimized.,5
Its really cool game i love story and animations,5
It's bad,1
I love this game but not farming artifact,5
Best story,5
"Loved it, love how this open world is. It's funny, beautiful, amazing. Could play all day every day.",5
EHE TTE NANDAYO!!,5
"1. The story, characters, world and music - great, love it very much 2. Gacha is greedy, in-game rewards are not enough. I buy BP and welkin but still think that game can offer more 4. Endgame is boring, it's better to quit from time to time and come back for the new regions 5. At least they are making interesting events each update 6. They still work with russia, which means they contribute to russia tax system, where money are used in missile production and you know what happens next",3
10/10 the best game ever that I have played,5
Such a cool rpg game Might even be the best! But it has lots of pay2win options and I'm free2play tho..,5
"won't talk about the rewards since it needs 6 pages itself, but I will talk about the insane problems. Look, genshin doesn't need to try anymore. Bugs that were in during the first patch are still there, there are almost no quality of life features, everyone has been asking for artifact load outs and it never came until the early 4.0+ patches. The recommendations as well weren't there until new patches. So many bugs/glitches that were there since day 1, the strongbox is a scam, fix your issues.",1
Good,5
Played better on pc,5
Nice but how can I change the text language,4
I COULSNT PLAY THIS CUZ MY PHONE CANT HANDLE IT UGHHHH,3
My screen is white,1
This game is great but i really hope they are more lenient on giving us primogems like star rail is getting,5
Cant log in,2
Been a player since 2020. Truly a wonderful anime game. it has so many big places to explore like sumeru & liyue and u can play it 24/7,5
作为一款手游界创世神作，如今却成功教会了我放下游戏出门，很好奇原神策划是怎么做到的？肯定不只是周年庆送三抽和负面事件一出就躺平这么简单吧~肯定还会有过人的技巧比如出那维莱特把环境搞烂然后再继续抑制早已爆炸的数值膨胀吧~肯定还会有出色的能力比如枫丹的主角实力疯狂正常发挥然后说出来的台词根本和玩家达不成共鸣吧~......如今是领悟了一个道理，别看深渊就行了，角色喜欢就抽抽不到就躺，绝对玩得开心,2
"To get stronger you need luck and money, not skill and strategy. Hoyoverse is so stingy with rewards, all the comments and suggestions that genshin players made is put not on genshin, BUT ON HONKAI STAR RAIL. This is ridiculous, why bother asking players to answer surveys then? And you only give mora as a reward. Afk legends has better rewards, they give gems for survey rewards. Genshin only gives 1 primogem for tutorials, afk legends gives 30. You're NOT gonna get bankrupt from giving more",1
This game is the absolute best! But just 1 big problem made this review lose 4 stars! After a play a little I cannot play! It automatically kicks me out of the game! Now I am thinking why did I use 33 GB storage just for this stupid game! 🤬,1
Cool,5
Good,5
